ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct
1779188158,2249,2972,75.7,99
1779188169,2226,2972,74.9,67
1779188181,2214,2972,74.5,99
1779188192,2259,2972,76.0,12
1779188204,2225,2972,74.9,23
1779188215,2225,2972,74.9,21
