ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct
1779182439,2142,2972,72.1,99
1779182451,2111,2972,71.0,65
1779182462,2091,2972,70.4,99
1779182473,2207,2972,74.3,29
1779182485,2207,2972,74.3,11
1779182496,2238,2972,75.3,17
1779182508,2268,2972,76.3,1
