ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct
1779188968,2365,2972,79.6,100
1779188979,2335,2972,78.6,66
1779188990,2316,2972,77.9,99
1779189002,2385,2972,80.2,11
1779189013,2359,2972,79.4,7
1779189025,2352,2972,79.1,2
