ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct
1779183933,2383,2972,80.2,99
1779183945,2346,2972,78.9,65
1779183956,2341,2972,78.8,100
1779183967,2422,2972,81.5,8
1779183979,2348,2972,79.0,19
1779183990,2398,2972,80.7,4
