ts,ram_used_mb,ram_total_mb,ram_pct,cpu_idle_pct
1779182912,2286,2972,76.9,99
1779182923,2252,2972,75.8,66
1779182934,2225,2972,74.9,98
1779182946,2296,2972,77.3,14
1779182957,2290,2972,77.1,18
1779182968,2306,2972,77.6,22
